Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1253085,-,-,-,9.81,-73.74,-5,74,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2016,1,1,0,30,0,0,0,0,0,0,19,164.73,0.188,0.1,4.083,56.6,71.75,26,990,N/A
2016,1,1,1,30,0,0,0,0,0,0,19,154.37,0.188,0.2,4.027,51.7,70.61,26,990,N/A
2016,1,1,2,30,0,0,0,0,0,0,19,141.41,0.188,0.2,3.985,52.300000000000004,69.89,26,990,N/A
2016,1,1,3,30,0,0,0,0,0,0,18,127.81,0.188,0.1,3.985,52.5,73.25,25,990,N/A
2016,1,1,4,30,0,0,0,0,0,0,18,114.03,0.188,0.1,4.059,52.1,72.64,25,990,N/A
2016,1,1,5,30,0,0,0,0,0,0,18,100.26,0.188,0.1,4.19,53.1,72.27,25,990,N/A
2016,1,1,6,30,24,101,30,24,101,30,18,86.64,0.188,0,4.34,57.900000000000006,68.18,26,990,N/A
2016,1,1,7,30,84,508,230,84,508,230,18,73.34,0.188,0,4.477,142,55.51,29,990,N/A
2016,1,1,8,30,118,679,452,118,679,452,17,60.6,0.188,0,4.593,82.7,44.87,32,990,N/A
2016,1,1,9,30,308,282,493,142,762,643,17,48.93,0.188,0,4.689,87.80000000000001,39.33,34,990,N/A
2016,1,1,10,30,148,822,785,148,822,785,17,39.300000000000004,0.188,0,4.769,154,37.21,35,990,N/A
2016,1,1,11,30,427,248,635,159,834,855,17,33.54,0.188,0,4.851,159.20000000000002,35.29,36,990,N/A
