Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1253085,-,-,-,9.81,-73.74,-5,74,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2019,1,1,0,30,0,0,0,0,0,0,16.6,164.77,0.2,0.2,3.1,49,58.26,25.400000000000002,994,N/A
2019,1,1,1,30,0,0,0,0,0,0,16.7,154.41,0.2,0.2,3.2,50,59.730000000000004,25.1,993,N/A
2019,1,1,2,30,0,0,0,0,0,0,16.900000000000002,141.45000000000002,0.2,0.2,3.3000000000000003,57,60.67,25,993,N/A
2019,1,1,3,30,0,0,0,0,0,0,17,127.84,0.2,0.2,3.4000000000000004,71,61.19,25,994,N/A
2019,1,1,4,30,0,0,0,0,0,0,17.1,114.05,0.2,0.30000000000000004,3.5,87,61.36,25,995,N/A
2019,1,1,5,30,0,0,0,0,0,0,17.1,100.28,0.2,0.2,3.4000000000000004,95,61.120000000000005,25.1,995,N/A
2019,1,1,6,30,28,153,37,28,153,37,17.400000000000002,86.47,0.2,0.1,3.4000000000000004,93,57.64,26.400000000000002,996,N/A
2019,1,1,7,30,74,590,243,74,590,243,17.1,73.31,0.2,0,3.3000000000000003,94,48.230000000000004,29.1,996,N/A
2019,1,1,8,30,94,773,474,94,773,474,16.5,60.59,0.2,0,3.2,107,39.62,31.900000000000002,996,N/A
2019,1,1,9,30,103,868,673,103,868,673,16.3,48.92,0.2,0,3.1,128,34.37,34.2,996,N/A
2019,1,1,10,30,103,924,818,103,924,818,16,39.29,0.2,0,3.1,145,30.61,36,995,N/A
2019,1,1,11,30,107,940,891,107,940,891,15.700000000000001,33.53,0.2,0,3.1,148,27.84,37.300000000000004,993,N/A
2019,1,1,12,30,109,936,888,109,936,888,15.3,33.69,0.2,0,3.1,152,26.03,38.1,992,N/A
2019,1,1,13,30,108,913,810,108,913,810,14.9,39.7,0.2,0,3.1,155,25.11,38.300000000000004,991,N/A
2019,1,1,14,30,100,866,663,100,866,663,14.5,49.480000000000004,0.2,0,3.1,158,25.1,37.9,991,N/A
2019,1,1,15,30,88,781,464,88,781,464,14.3,61.22,0.2,0,3.1,159,26.150000000000002,36.800000000000004,991,N/A
2019,1,1,16,30,66,605,233,66,605,233,14.600000000000001,73.97,0.2,0.1,3.1,156,30.330000000000002,34.5,992,N/A
2019,1,1,17,30,20,142,27,20,142,27,16.2,87.13,0.2,0.2,3,150,38.81,31.900000000000002,992,N/A
2019,1,1,18,30,0,0,0,0,0,0,16.5,100.99000000000001,0.2,0.2,3,144,42.21,30.8,993,N/A
2019,1,1,19,30,0,0,0,0,0,0,16.6,114.76,0.2,0.2,3.1,124,46.92,29.1,994,N/A
2019,1,1,20,30,0,0,0,0,0,0,16.8,128.55,0.2,0.2,3.1,108,49.51,28.400000000000002,994,N/A
2019,1,1,21,30,0,0,0,0,0,0,17.1,142.15,0.2,0.2,3.2,81,52.370000000000005,27.700000000000003,994,N/A
2019,1,1,22,30,0,0,0,0,0,0,17.2,155.07,0.2,0.2,3.2,59,54.89,27,994,N/A
