Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1242637,-,-,-,4.61,-74.06,-5,2856,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2002,1,1,0,30,0,0,0,0,0,0,14,160.19,0.09,0.2,2.333,123.9,97.17,11,740,N/A
2002,1,1,1,30,0,0,0,0,0,0,14,151.46,0.09,0.1,2.378,113.9,96.86,10,740,N/A
2002,1,1,2,30,0,0,0,0,0,0,14,139.33,0.09,0.1,2.428,102.60000000000001,96.32000000000001,10,740,N/A
2002,1,1,3,30,0,0,0,0,0,0,14,126.08,0.09,0.1,2.477,132.3,95.49,10,740,N/A
2002,1,1,4,30,0,0,0,0,0,0,14,112.42,0.09,0.2,2.505,137.3,94.7,10,740,N/A
2002,1,1,5,30,0,0,0,0,0,0,14,98.63,0.09,0.30000000000000004,2.497,129.3,93.98,10,740,N/A
2002,1,1,6,30,24,433,63,24,433,63,14,84.87,0.09,0.5,2.449,130.3,94.46000000000001,11,740,N/A
2002,1,1,7,30,49,795,304,49,795,304,14,71.3,0.09,0.7000000000000001,2.362,123,88.85000000000001,12,740,N/A
2002,1,1,8,30,62,925,550,62,925,550,13,58.14,0.09,0.9,2.251,85.4,81.38,13,740,N/A
2002,1,1,9,30,70,988,760,70,988,760,13,45.800000000000004,0.09,1,2.138,86,75.24,14,740,N/A
2002,1,1,10,30,78,1018,910,78,1018,910,13,35.24,0.09,1.1,2.045,90,70.14,15,740,N/A
2002,1,1,11,30,82,1032,990,82,1032,990,13,28.53,0.09,1.2000000000000002,1.987,91.10000000000001,66.14,16,740,N/A
2002,1,1,12,30,480,89,558,84,1030,990,13,28.54,0.09,1.2000000000000002,1.958,93,62.68,17,740,N/A
2002,1,1,13,30,345,29,369,84,1011,910,13,35.27,0.09,1.2000000000000002,1.953,96.10000000000001,62.57,17,740,N/A
2002,1,1,14,30,370,243,540,79,976,759,13,45.84,0.09,1.1,1.964,96.80000000000001,66.19,16,740,N/A
2002,1,1,15,30,72,906,549,72,906,549,13,58.18,0.09,1,1.984,93.7,70.49,15,740,N/A
2002,1,1,16,30,58,760,302,58,760,302,13,71.35000000000001,0.09,0.9,2.001,90.60000000000001,76.46000000000001,14,740,N/A
2002,1,1,17,30,28,365,60,28,365,60,14,84.92,0.09,0.7000000000000001,2.013,93.2,85.41,12,740,N/A
2002,1,1,18,30,0,0,0,0,0,0,14,98.69,0.09,0.5,2.015,89.80000000000001,90.22,11,740,N/A
2002,1,1,19,30,0,0,0,0,0,0,14,112.48,0.09,0.5,2.004,88.10000000000001,95.48,11,740,N/A
2002,1,1,20,30,0,0,0,0,0,0,14,126.15,0.09,0.4,1.978,92.5,94.55,11,740,N/A
2002,1,1,21,30,0,0,0,0,0,0,13,139.41,0.09,0.4,1.938,94.9,93.58,10,740,N/A
2002,1,1,22,30,0,0,0,0,0,0,13,151.55,0.09,0.4,1.8840000000000001,90.7,98.39,10,740,N/A
2002,1,1,23,30,0,0,0,0,0,0,13,160.28,0.09,0.4,1.819,80.5,97.11,10,740,N/A
2002,1,2,0,30,0,0,0,0,0,0,13,160.31,0.09,0.4,1.7550000000000001,60.5,95.67,10,740,N/A
2002,1,2,1,30,0,0,0,0,0,0,13,151.6,0.09,0.4,1.701,45.6,94.26,9,740,N/A
2002,1,2,2,30,0,0,0,0,0,0,12,139.46,0.09,0.5,1.657,32.9,98.87,9,740,N/A
2002,1,2,3,30,0,0,0,0,0,0,12,126.21000000000001,0.09,0.6000000000000001,1.617,27.700000000000003,96.94,9,740,N/A
2002,1,2,4,30,0,0,0,0,0,0,12,112.54,0.09,0.5,1.567,24.1,94.99,9,740,N/A
2002,1,2,5,30,0,0,0,0,0,0,11,98.74000000000001,0.09,0.5,1.5050000000000001,28.6,92.86,9,740,N/A
2002,1,2,6,30,26,426,63,26,426,63,12,84.97,0.09,0.7000000000000001,1.434,48.1,82.7,10,740,N/A
2002,1,2,7,30,52,818,313,52,818,313,12,71.38,0.09,1.1,1.363,73.8,75.61,13,740,N/A
2002,1,2,8,30,61,959,566,61,959,566,12,58.2,0.09,1.5,1.299,84.7,64.2,14,740,N/A
2002,1,2,9,30,65,1027,781,65,1027,781,11,45.85,0.09,1.8,1.26,95.60000000000001,58.36,16,740,N/A
2002,1,2,10,30,70,1057,933,70,1057,933,11,35.25,0.09,2,1.2670000000000001,103.2,54.13,17,740,N/A
2002,1,2,11,30,72,1069,1012,72,1069,1012,11,28.47,0.09,1.9000000000000001,1.313,106.2,50.6,17,740,N/A
2002,1,2,12,30,72,1066,1010,72,1066,1010,11,28.43,0.09,1.8,1.368,106.60000000000001,50.550000000000004,18,740,N/A
2002,1,2,13,30,71,1050,930,71,1050,930,11,35.13,0.09,1.8,1.417,107.80000000000001,50.84,18,740,N/A
2002,1,2,14,30,67,1017,778,67,1017,778,11,45.7,0.09,1.9000000000000001,1.457,107.60000000000001,51.17,17,740,N/A
2002,1,2,15,30,61,954,566,61,954,566,11,58.050000000000004,0.09,1.8,1.488,105.7,54.77,16,740,N/A
2002,1,2,16,30,50,824,315,50,824,315,11,71.22,0.09,1.3,1.51,103.2,63.81,15,740,N/A
2002,1,2,17,30,25,452,66,25,452,66,13,84.8,0.09,0.8,1.5250000000000001,101.4,79.53,13,740,N/A
2002,1,2,18,30,0,0,0,0,0,0,13,98.58,0.09,0.6000000000000001,1.539,90.7,82.47,11,740,N/A
2002,1,2,19,30,0,0,0,0,0,0,12,112.38,0.09,0.5,1.547,76.7,87.08,11,740,N/A
2002,1,2,20,30,0,0,0,0,0,0,12,126.06,0.09,0.4,1.545,65.4,91.64,10,740,N/A
2002,1,2,21,30,0,0,0,0,0,0,12,139.34,0.09,0.4,1.532,51.2,89.42,9,740,N/A
2002,1,2,22,30,0,0,0,0,0,0,11,151.52,0.09,0.4,1.5090000000000001,36.2,87.01,9,740,N/A
2002,1,2,23,30,0,0,0,0,0,0,11,160.33,0.09,0.5,1.478,26.3,90.36,9,740,N/A
2002,1,3,0,30,0,0,0,0,0,0,11,160.43,0.09,0.6000000000000001,1.443,12.5,88.27,9,740,N/A
2002,1,3,1,30,0,0,0,0,0,0,10,151.74,0.09,0.7000000000000001,1.408,352.3,86.77,8,740,N/A
2002,1,3,2,30,0,0,0,0,0,0,10,139.6,0.09,0.8,1.383,344.5,90.95,8,740,N/A
2002,1,3,3,30,0,0,0,0,0,0,10,126.33,0.09,0.8,1.359,346.8,89.27,8,740,N/A
2002,1,3,4,30,0,0,0,0,0,0,10,112.65,0.09,0.7000000000000001,1.333,351.3,87.66,8,740,N/A
2002,1,3,5,30,0,0,0,0,0,0,9,98.84,0.09,0.5,1.303,11,85.75,8,740,N/A
2002,1,3,6,30,25,444,63,25,444,63,9,85.06,0.09,0.7000000000000001,1.262,37.6,76.78,9,740,N/A
2002,1,3,7,30,51,828,314,51,828,314,10,71.47,0.09,1,1.218,78,67.27,12,740,N/A
