Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1253085,-,-,-,9.81,-73.74,-5,74,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2011,1,1,0,30,0,0,0,0,0,0,20,164.75,0.17400000000000002,0.30000000000000004,2.963,283,99.14,22,990,N/A
2011,1,1,1,30,0,0,0,0,0,0,20,154.4,0.17400000000000002,0.2,2.9410000000000003,282.2,100,21,990,N/A
2011,1,1,2,30,0,0,0,0,0,0,20,141.44,0.17400000000000002,0.2,2.928,280.40000000000003,100,21,990,N/A
2011,1,1,3,30,0,0,0,0,0,0,20,127.84,0.17400000000000002,0.30000000000000004,2.919,285.2,100,21,990,N/A
2011,1,1,4,30,0,0,0,0,0,0,20,114.05,0.17400000000000002,0.2,2.9210000000000003,294.2,100,21,990,N/A
2011,1,1,5,30,0,0,0,0,0,0,20,100.28,0.17400000000000002,0.2,2.944,310.70000000000005,100,21,990,N/A
2011,1,1,6,30,21,248,35,21,248,35,19,86.66,0.17400000000000002,0.1,3,317.40000000000003,99.44,21,990,N/A
2011,1,1,7,30,59,669,250,59,669,250,20,73.36,0.17400000000000002,0,3.109,286.1,90.69,23,990,N/A
2011,1,1,8,30,77,823,481,77,823,481,20,60.620000000000005,0.17400000000000002,0,3.2640000000000002,235,76.7,26,990,N/A
2011,1,1,9,30,88,895,676,88,895,676,19,48.94,0.17400000000000002,0,3.447,142,65.3,28,990,N/A
2011,1,1,10,30,102,918,813,102,918,813,19,39.300000000000004,0.17400000000000002,0,3.64,167.4,56.18,30,990,N/A
2011,1,1,11,30,108,930,883,108,930,883,19,33.53,0.17400000000000002,0,3.845,192.10000000000002,52.65,31,990,N/A
2011,1,1,12,30,109,924,878,109,924,878,19,33.69,0.17400000000000002,0,4.061,232,53.06,31,990,N/A
2011,1,1,13,30,390,207,550,125,865,791,19,39.7,0.17400000000000002,0,4.277,202.10000000000002,54.13,31,990,N/A
2011,1,1,14,30,123,798,642,123,798,642,20,49.480000000000004,0.17400000000000002,0,4.489,240.70000000000002,59.56,30,990,N/A
2011,1,1,15,30,215,200,311,115,675,440,21,61.230000000000004,0.17400000000000002,0,4.679,274.1,67.66,29,990,N/A
2011,1,1,16,30,88,456,214,88,456,214,23,74,0.17400000000000002,0,4.821,183.8,79,27,990,N/A
2011,1,1,17,30,19,41,21,19,41,21,23,87.33,0.17400000000000002,0,4.906,97.2,93.23,25,990,N/A
