Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1242637,-,-,-,4.61,-74.06,-5,2856,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2004,1,1,0,30,0,0,0,0,0,0,10,160.13,0.088,1,1.432,94.5,92.79,7,740,N/A
2004,1,1,1,30,0,0,0,0,0,0,10,151.4,0.088,1.1,1.3900000000000001,95.5,90.37,7,740,N/A
2004,1,1,2,30,0,0,0,0,0,0,10,139.27,0.088,1.2000000000000002,1.3900000000000001,98.60000000000001,94.32000000000001,7,740,N/A
2004,1,1,3,30,0,0,0,0,0,0,9,126.02,0.088,1.3,1.43,98.80000000000001,93.33,7,740,N/A
2004,1,1,4,30,0,0,0,0,0,0,9,112.37,0.088,1.5,1.5,100.5,93.32000000000001,7,740,N/A
2004,1,1,5,30,0,0,0,0,0,0,10,98.58,0.088,1.9000000000000001,1.582,103.10000000000001,94.17,7,740,N/A
2004,1,1,6,30,8,0,8,27,417,64,10,84.82000000000001,0.088,2.5,1.651,104.30000000000001,86.43,9,740,N/A
2004,1,1,7,30,42,0,42,55,791,309,11,71.26,0.088,3.3000000000000003,1.702,103.80000000000001,73.51,12,740,N/A
2004,1,1,8,30,252,86,298,67,926,557,11,58.1,0.088,3.8000000000000003,1.742,100.30000000000001,66.79,14,740,N/A
2004,1,1,9,30,74,992,766,74,992,766,12,45.78,0.088,4,1.7870000000000001,97.80000000000001,64.28,15,740,N/A
2004,1,1,10,30,241,17,256,88,1008,912,12,35.24,0.088,4.1000000000000005,1.839,97.80000000000001,61.46,16,740,N/A
2004,1,1,11,30,201,16,215,85,1031,991,12,28.55,0.088,4.2,1.889,97.80000000000001,58.78,17,740,N/A
2004,1,1,12,30,192,15,206,82,1034,991,12,28.59,0.088,4.1000000000000005,1.928,97.60000000000001,56.1,17,740,N/A
2004,1,1,13,30,155,11,165,78,1022,912,12,35.34,0.088,4,1.954,96.7,59.95,17,740,N/A
2004,1,1,14,30,357,88,419,71,991,762,12,45.910000000000004,0.088,3.8000000000000003,1.97,95.80000000000001,59.75,16,740,N/A
2004,1,1,15,30,45,0,45,63,930,553,12,58.24,0.088,3.5,1.98,95.4,63.43,15,740,N/A
2004,1,1,16,30,50,804,306,50,804,306,13,71.41,0.088,2.8000000000000003,1.981,95,68.65,14,740,N/A
2004,1,1,17,30,24,438,63,24,438,63,13,84.98,0.088,2.1,1.973,95.7,82.24,12,740,N/A
2004,1,1,18,30,0,0,0,0,0,0,13,98.74000000000001,0.088,1.8,1.961,94.4,85.53,11,740,N/A
2004,1,1,19,30,0,0,0,0,0,0,13,112.53,0.088,1.7000000000000002,1.95,93.10000000000001,90.04,11,740,N/A
