Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1253085,-,-,-,9.81,-73.74,-5,74,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2000,1,1,0,30,0,0,0,0,0,0,18,164.72,0.20400000000000001,0.2,2.916,241.10000000000002,88.09,22,990,N/A
2000,1,1,1,30,0,0,0,0,0,0,19,154.36,0.20400000000000001,0.2,3.1670000000000003,253.4,89.23,22,990,N/A
2000,1,1,2,30,0,0,0,0,0,0,19,141.41,0.20400000000000001,0.1,3.422,253.10000000000002,96.24000000000001,21,990,N/A
2000,1,1,3,30,0,0,0,0,0,0,19,127.8,0.20400000000000001,0.1,3.664,222.10000000000002,97.22,21,990,N/A
2000,1,1,4,30,0,0,0,0,0,0,19,114.02,0.20400000000000001,0.1,3.886,219.5,97.75,21,990,N/A
2000,1,1,5,30,0,0,0,0,0,0,19,100.26,0.20400000000000001,0.1,4.077,237.70000000000002,97.74000000000001,21,990,N/A
2000,1,1,6,30,21,215,33,21,215,33,19,86.64,0.20400000000000001,0,4.234,249.3,87.19,23,990,N/A
2000,1,1,7,30,58,648,244,58,648,244,19,73.34,0.20400000000000001,0,4.367,259,78.28,25,990,N/A
2000,1,1,8,30,75,808,473,75,808,473,19,60.61,0.20400000000000001,0,4.484,225.4,64.05,28,990,N/A
2000,1,1,9,30,86,884,667,86,884,667,19,48.93,0.20400000000000001,0,4.569,231.5,55.76,30,990,N/A
2000,1,1,10,30,93,923,808,93,923,808,19,39.300000000000004,0.20400000000000001,0,4.604,230.70000000000002,52.06,31,990,N/A
