Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1242637,-,-,-,4.61,-74.06,-5,2856,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2016,1,1,0,30,0,0,0,0,0,0,12,160.14000000000001,0.099,1.3,1.962,101.60000000000001,85.31,10,740,N/A
2016,1,1,1,30,0,0,0,0,0,0,12,151.4,0.099,1.3,1.957,101.4,84.04,10,740,N/A
2016,1,1,2,30,0,0,0,0,0,0,12,139.27,0.099,1.4000000000000001,1.951,100.4,88.29,10,740,N/A
2016,1,1,3,30,0,0,0,0,0,0,11,126.03,0.099,1.5,1.95,100.2,87.51,10,740,N/A
2016,1,1,4,30,0,0,0,0,0,0,11,112.37,0.099,1.4000000000000001,1.953,101,87.47,10,740,N/A
2016,1,1,5,30,0,0,0,0,0,0,11,98.58,0.099,1.5,1.968,102.60000000000001,87.48,10,740,N/A
2016,1,1,6,30,26,415,64,26,415,64,12,84.83,0.099,2,1.994,103.60000000000001,78.33,11,740,N/A
2016,1,1,7,30,56,777,305,56,777,305,12,71.26,0.099,2.8000000000000003,2.024,101.60000000000001,69.95,14,740,N/A
2016,1,1,8,30,72,904,550,72,904,550,12,58.1,0.099,3.1,2.056,100.2,65.69,15,740,N/A
2016,1,1,9,30,82,968,757,82,968,757,12,45.78,0.099,3.2,2.092,100.4,57.620000000000005,16,740,N/A
2016,1,1,10,30,83,1008,907,83,1008,907,12,35.230000000000004,0.099,3.2,2.128,100.60000000000001,53.94,17,740,N/A
2016,1,1,11,30,89,1018,983,89,1018,983,12,28.55,0.099,3.2,2.16,100.80000000000001,53.81,18,740,N/A
2016,1,1,12,30,90,1015,982,90,1015,982,12,28.580000000000002,0.099,3.1,2.189,100.7,50.39,18,740,N/A
2016,1,1,13,30,88,998,903,88,998,903,12,35.33,0.099,2.9000000000000004,2.217,99.9,53.49,18,740,N/A
2016,1,1,14,30,83,961,752,83,961,752,12,45.9,0.099,2.8000000000000003,2.251,98.10000000000001,53.410000000000004,17,730,N/A
2016,1,1,15,30,194,524,470,74,891,543,12,58.24,0.099,2.5,2.291,95.4,56.93,16,740,N/A
2016,1,1,16,30,108,465,257,60,741,297,12,71.4,0.099,1.9000000000000001,2.328,93,65.27,15,740,N/A
2016,1,1,17,30,31,223,50,28,339,58,13,84.98,0.099,1.2000000000000002,2.351,89.9,73.96000000000001,13,740,N/A
2016,1,1,18,30,0,0,0,0,0,0,13,98.74000000000001,0.099,0.8,2.359,82.60000000000001,80.72,13,740,N/A
2016,1,1,19,30,0,0,0,0,0,0,13,112.53,0.1,0.5,2.352,66.9,84.57000000000001,12,740,N/A
2016,1,1,20,30,0,0,0,0,0,0,13,126.19,0.1,0.4,2.336,57,83.3,11,740,N/A
2016,1,1,21,30,0,0,0,0,0,0,12,139.44,0.1,0.4,2.317,60.1,86.9,11,740,N/A
2016,1,1,22,30,0,0,0,0,0,0,12,151.57,0.1,0.4,2.294,64.10000000000001,84.84,11,740,N/A
2016,1,1,23,30,0,0,0,0,0,0,12,160.27,0.1,0.4,2.261,71.7,88.38,10,740,N/A
2016,1,2,0,30,0,0,0,0,0,0,11,160.26,0.1,0.4,2.222,76.7,86.63,10,740,N/A
2016,1,2,1,30,0,0,0,0,0,0,11,151.54,0.1,0.5,2.2,78,85.15,9,740,N/A
2016,1,2,2,30,0,0,0,0,0,0,11,139.4,0.1,0.4,2.219,80.9,89.72,9,740,N/A
2016,1,2,3,30,0,0,0,0,0,0,11,126.15,0.1,0.4,2.27,85.9,89.12,9,740,N/A
2016,1,2,4,30,0,0,0,0,0,0,11,112.49000000000001,0.1,0.4,2.306,94,89.22,9,740,N/A
2016,1,2,5,30,0,0,0,0,0,0,11,98.69,0.1,0.6000000000000001,2.298,93.9,89.45,9,740,N/A
2016,1,2,6,30,29,342,59,29,342,59,11,84.92,0.1,1.2000000000000002,2.2720000000000002,104.60000000000001,79.21000000000001,10,740,N/A
2016,1,2,7,30,125,27,134,62,733,297,11,71.34,0.1,1.9000000000000001,2.251,105.30000000000001,75.27,12,740,N/A
2016,1,2,8,30,217,35,236,76,885,543,11,58.17,0.1,2.3000000000000003,2.232,103.7,66.45,14,740,N/A
2016,1,2,9,30,260,21,275,82,963,753,11,45.82,0.1,2.5,2.217,102.5,62,15,740,N/A
2016,1,2,10,30,86,1001,904,86,1001,904,11,35.24,0.1,2.6,2.225,101.7,58.35,16,740,N/A
2016,1,2,11,30,90,1013,981,90,1013,981,11,28.490000000000002,0.1,2.7,2.253,101.2,54.97,17,740,N/A
2016,1,2,12,30,415,40,450,91,1011,980,11,28.47,0.1,2.6,2.2880000000000003,101,51.9,17,740,N/A
2016,1,2,13,30,454,128,559,91,991,901,11,35.19,0.1,2.5,2.322,100.5,55.160000000000004,17,740,N/A
2016,1,2,14,30,337,58,377,86,952,750,11,45.76,0.1,2.4000000000000004,2.346,99.4,58.95,16,740,N/A
2016,1,2,15,30,197,19,208,77,882,543,11,58.1,0.1,2.1,2.361,97.2,63,15,740,N/A
2016,1,2,16,30,136,69,159,62,735,298,11,71.28,0.1,1.6,2.37,92.80000000000001,67.79,14,740,N/A
2016,1,2,17,30,31,10,32,29,344,60,12,84.86,0.1,1,2.369,87,75.39,13,740,N/A
2016,1,2,18,30,0,0,0,0,0,0,12,98.63,0.1,0.6000000000000001,2.355,78.2,82.34,12,740,N/A
2016,1,2,19,30,0,0,0,0,0,0,12,112.43,0.1,0.4,2.333,70.7,85.89,11,740,N/A
2016,1,2,20,30,0,0,0,0,0,0,12,126.11,0.1,0.4,2.3040000000000003,65.9,83.99,10,740,N/A
2016,1,2,21,30,0,0,0,0,0,0,12,139.37,0.1,0.4,2.262,67.60000000000001,87.86,10,740,N/A
2016,1,2,22,30,0,0,0,0,0,0,11,151.54,0.1,0.4,2.214,72.7,86.33,10,740,N/A
2016,1,2,23,30,0,0,0,0,0,0,11,160.31,0.1,0.4,2.187,77.7,85.29,9,740,N/A
2016,1,3,0,30,0,0,0,0,0,0,11,160.38,0.1,0.4,2.211,78.9,84.94,9,740,N/A
2016,1,3,1,30,0,0,0,0,0,0,11,151.68,0.1,0.30000000000000004,2.285,75.9,85.21000000000001,9,740,N/A
2016,1,3,2,30,0,0,0,0,0,0,11,139.54,0.1,0.30000000000000004,2.331,72.9,85.67,9,740,N/A
2016,1,3,3,30,0,0,0,0,0,0,11,126.27,0.1,0.4,2.285,75.8,91.79,9,740,N/A
2016,1,3,4,30,0,0,0,0,0,0,11,112.60000000000001,0.1,0.5,2.215,81.5,91.33,9,740,N/A
2016,1,3,5,30,0,0,0,0,0,0,11,98.79,0.1,0.6000000000000001,2.183,84.2,90.74,9,740,N/A
2016,1,3,6,30,26,389,60,26,389,60,11,85.02,0.1,1.1,2.168,99.30000000000001,80.91,10,740,N/A
2016,1,3,7,30,55,772,301,55,772,301,12,71.43,0.1,1.7000000000000002,2.152,98.80000000000001,72.41,13,740,N/A
2016,1,3,8,30,69,909,547,69,909,547,11,58.24,0.1,2.1,2.1310000000000002,98.4,63.58,15,740,N/A
2016,1,3,9,30,76,977,757,76,977,757,11,45.87,0.1,2.2,2.115,99,55.75,17,740,N/A
2016,1,3,10,30,79,1016,909,79,1016,909,11,35.24,0.1,2.2,2.126,102,52.76,18,740,N/A
2016,1,3,11,30,83,1027,986,83,1027,986,12,28.43,0.1,2.3000000000000003,2.1550000000000002,106,50.09,18,740,N/A
2016,1,3,12,30,490,103,581,84,1025,986,12,28.35,0.1,2.3000000000000003,2.192,109.60000000000001,50.45,19,740,N/A
2016,1,3,13,30,459,223,642,98,981,901,12,35.050000000000004,0.1,2.2,2.24,113,50.480000000000004,19,740,N/A
2016,1,3,14,30,93,939,750,93,939,750,12,45.62,0.1,2,2.2960000000000003,114.2,53.88,18,740,N/A
2016,1,3,15,30,83,864,542,83,864,542,12,57.97,0.1,1.7000000000000002,2.346,111.9,57.5,17,740,N/A
2016,1,3,16,30,70,696,295,70,696,295,12,71.15,0.1,1.3,2.378,105.30000000000001,62.39,16,740,N/A
2016,1,3,17,30,32,289,59,32,289,59,13,84.74,0.1,0.8,2.396,95.5,76.2,14,740,N/A
2016,1,3,18,30,0,0,0,0,0,0,14,98.52,0.1,0.6000000000000001,2.403,82.9,78.18,13,740,N/A
2016,1,3,19,30,0,0,0,0,0,0,14,112.33,0.1,0.5,2.398,66.3,83.24,13,740,N/A
2016,1,3,20,30,0,0,0,0,0,0,13,126.02,0.1,0.4,2.384,53.7,86.49,12,740,N/A
2016,1,3,21,30,0,0,0,0,0,0,13,139.31,0.1,0.30000000000000004,2.3770000000000002,50.300000000000004,85.89,12,740,N/A
2016,1,3,22,30,0,0,0,0,0,0,13,151.51,0.1,0.30000000000000004,2.384,51.7,85.57000000000001,11,740,N/A
2016,1,3,23,30,0,0,0,0,0,0,13,160.36,0.1,0.30000000000000004,2.3890000000000002,64.4,90.13,11,740,N/A
2016,1,4,0,30,0,0,0,0,0,0,13,160.51,0.1,0.30000000000000004,2.3770000000000002,71.2,90.19,11,740,N/A
2016,1,4,1,30,0,0,0,0,0,0,13,151.82,0.1,0.30000000000000004,2.348,69.4,90.14,10,740,N/A
2016,1,4,2,30,0,0,0,0,0,0,13,139.67000000000002,0.1,0.4,2.308,68.9,95.63,10,740,N/A
2016,1,4,3,30,0,0,0,0,0,0,13,126.4,0.1,0.4,2.271,74.8,94.86,10,740,N/A
2016,1,4,4,30,0,0,0,0,0,0,13,112.71000000000001,0.1,0.5,2.246,78.4,94.02,10,740,N/A
2016,1,4,5,30,0,0,0,0,0,0,12,98.9,0.1,0.5,2.236,81,93.37,10,740,N/A
2016,1,4,6,30,31,273,54,31,273,54,13,85.11,0.1,0.9,2.255,91.60000000000001,89.15,11,740,N/A
2016,1,4,7,30,72,678,287,72,678,287,13,71.51,0.1,1.4000000000000001,2.307,102.9,80.37,12,740,N/A
2016,1,4,8,30,94,829,530,94,829,530,13,58.300000000000004,0.1,1.7000000000000002,2.357,109,74.4,14,740,N/A
2016,1,4,9,30,309,466,634,104,913,740,13,45.9,0.1,1.8,2.3770000000000002,120.80000000000001,69.11,15,740,N/A
2016,1,4,10,30,116,945,889,116,945,889,12,35.24,0.1,1.9000000000000001,2.384,124.80000000000001,63.88,16,740,N/A
2016,1,4,11,30,424,70,487,120,964,968,12,28.37,0.1,1.9000000000000001,2.4010000000000002,123.10000000000001,59.42,16,740,N/A
2016,1,4,12,30,481,88,559,120,963,969,12,28.23,0.1,1.8,2.422,119.80000000000001,59.15,17,740,N/A
2016,1,4,13,30,381,40,414,129,923,886,12,34.910000000000004,0.1,1.6,2.437,113.80000000000001,59,16,740,N/A
2016,1,4,14,30,331,51,367,118,886,739,12,45.480000000000004,0.1,1.4000000000000001,2.44,107.10000000000001,62.92,16,740,N/A
2016,1,4,15,30,262,232,386,101,814,535,12,57.84,0.1,1.3,2.424,99.30000000000001,67.83,15,740,N/A
2016,1,4,16,30,134,44,148,77,664,293,13,71.03,0.1,1.1,2.387,93.4,74.59,14,740,N/A
2016,1,4,17,30,30,0,30,34,278,60,14,84.62,0.1,0.7000000000000001,2.383,89.9,83.11,12,740,N/A
2016,1,4,18,30,0,0,0,0,0,0,14,98.41,0.1,0.5,2.441,89.9,88.08,12,740,N/A
2016,1,4,19,30,0,0,0,0,0,0,14,112.24000000000001,0.1,0.4,2.458,85.10000000000001,88.37,12,740,N/A
2016,1,4,20,30,0,0,0,0,0,0,13,125.94,0.1,0.4,2.4210000000000003,65.5,87.74,11,740,N/A
2016,1,4,21,30,0,0,0,0,0,0,13,139.25,0.1,0.30000000000000004,2.419,64.8,92.87,11,740,N/A
2016,1,4,22,30,0,0,0,0,0,0,13,151.49,0.1,0.2,2.445,63.1,92.27,11,740,N/A
2016,1,4,23,30,0,0,0,0,0,0,13,160.41,0.1,0.2,2.464,39.400000000000006,91.43,11,740,N/A
2016,1,5,0,30,0,0,0,0,0,0,13,160.65,0.1,0.30000000000000004,2.464,14.200000000000001,90.38,11,740,N/A
2016,1,5,1,30,0,0,0,0,0,0,13,151.97,0.1,0.4,2.457,18,88.96000000000001,11,740,N/A
2016,1,5,2,30,0,0,0,0,0,0,13,139.81,0.1,0.4,2.454,35.800000000000004,87.9,10,740,N/A
2016,1,5,3,30,0,0,0,0,0,0,12,126.52,0.1,0.5,2.449,50.5,87.16,10,740,N/A
2016,1,5,4,30,0,0,0,0,0,0,12,112.83,0.1,0.5,2.437,56.7,92.48,10,740,N/A
2016,1,5,5,30,0,0,0,0,0,0,12,99,0.1,0.4,2.42,54,92.03,10,740,N/A
2016,1,5,6,30,30,281,53,30,281,53,12,85.2,0.1,0.6000000000000001,2.391,57,81.83,11,740,N/A
2016,1,5,7,30,67,701,289,67,701,289,13,71.58,0.1,1.1,2.349,86.2,73.53,13,740,N/A
2016,1,5,8,30,82,865,536,82,865,536,13,58.36,0.1,1.5,2.302,88.2,64.65,15,740,N/A
2016,1,5,9,30,90,944,747,90,944,747,13,45.93,0.1,1.6,2.2720000000000002,91.7,61.160000000000004,16,740,N/A
2016,1,5,10,30,459,190,614,104,969,896,13,35.230000000000004,0.1,1.5,2.29,95.5,57.89,17,740,N/A
2016,1,5,11,30,391,32,420,111,978,973,13,28.29,0.1,1.2000000000000002,2.366,101,54.800000000000004,18,740,N/A
2016,1,5,12,30,486,93,569,116,967,970,13,28.1,0.1,1,2.478,112.2,55.04,18,740,N/A
2016,1,5,13,30,77,0,77,162,864,872,13,34.76,0.1,0.8,2.586,127.7,58.870000000000005,17,740,N/A
2016,1,5,14,30,20,0,20,158,800,721,13,45.33,0.1,0.7000000000000001,2.6510000000000002,148.5,67.24,16,740,N/A
2016,1,5,15,30,10,0,10,137,712,517,13,57.7,0.1,0.7000000000000001,2.6710000000000003,156.4,72.66,15,740,N/A
2016,1,5,16,30,11,0,11,105,533,279,14,70.9,0.1,0.6000000000000001,2.6710000000000003,142.6,78.8,14,740,N/A
2016,1,5,17,30,2,0,2,39,176,56,14,84.51,0.1,0.5,2.668,124.10000000000001,81.75,13,740,N/A
2016,1,5,18,30,0,0,0,0,0,0,14,98.31,0.1,0.4,2.6710000000000003,111.4,87.08,13,740,N/A
2016,1,5,19,30,0,0,0,0,0,0,14,112.14,0.1,0.5,2.692,101,86.78,12,740,N/A
2016,1,5,20,30,0,0,0,0,0,0,14,125.86,0.1,0.5,2.726,92.30000000000001,87.07000000000001,12,740,N/A
