Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1253085,-,-,-,9.81,-73.74,-5,74,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2017,1,1,0,30,0,0,0,0,0,0,22,164.82,0.188,0.2,4.741,210.10000000000002,89.51,25,990,N/A
2017,1,1,1,30,0,0,0,0,0,0,22,154.47,0.188,0.1,4.777,232.9,88.8,25,990,N/A
2017,1,1,2,30,0,0,0,0,0,0,22,141.51,0.188,0,4.829,248.4,94.14,24,990,N/A
2017,1,1,3,30,0,0,0,0,0,0,21,127.89,0.188,0,4.8340000000000005,211.9,93.8,24,990,N/A
2017,1,1,4,30,0,0,0,0,0,0,21,114.11,0.188,0.1,4.751,300.6,93.23,24,990,N/A
2017,1,1,5,30,0,0,0,0,0,0,21,100.33,0.188,0.1,4.632,306.5,92.89,24,990,N/A
2017,1,1,6,30,22,158,31,22,158,31,21,86.71000000000001,0.188,0,4.538,303.90000000000003,87.75,25,990,N/A
2017,1,1,7,30,67,598,238,67,598,238,21,73.39,0.188,0,4.484,305.40000000000003,72.19,28,990,N/A
2017,1,1,8,30,86,778,467,86,778,467,20,60.65,0.188,0,4.455,144.1,57.94,31,990,N/A
2017,1,1,9,30,95,866,664,95,866,664,20,48.95,0.188,0,4.453,137.4,49.38,33,990,N/A
2017,1,1,10,30,99,913,806,99,913,806,19,39.29,0.188,0,4.491,177.4,42.97,35,990,N/A
2017,1,1,11,30,103,929,878,103,929,878,19,33.49,0.188,0,4.557,188.3,40.14,36,990,N/A
2017,1,1,12,30,106,924,875,106,924,875,19,33.63,0.188,0,4.636,193.3,37.93,37,990,N/A
2017,1,1,13,30,111,887,795,111,887,795,19,39.63,0.188,0,4.7250000000000005,206.3,40.26,36,990,N/A
2017,1,1,14,30,108,830,649,108,830,649,19,49.4,0.188,0,4.82,208.4,43.15,35,990,N/A
2017,1,1,15,30,97,732,450,97,732,450,20,61.160000000000004,0.188,0,4.891,199.60000000000002,46.79,34,990,N/A
2017,1,1,16,30,72,548,223,72,548,223,21,73.94,0.188,0,4.899,161.10000000000002,61.53,31,990,N/A
2017,1,1,17,30,24,0,24,19,104,24,23,87.27,0.188,0,4.823,157.5,76.8,29,990,N/A
2017,1,1,18,30,0,0,0,0,0,0,23,100.91,0.188,0,4.662,119.60000000000001,81.97,28,990,N/A
2017,1,1,19,30,0,0,0,0,0,0,23,114.69,0.188,0,4.4350000000000005,63.5,79.67,28,990,N/A
2017,1,1,20,30,0,0,0,0,0,0,22,128.48,0.188,0,4.176,338.40000000000003,83.14,27,990,N/A
2017,1,1,21,30,0,0,0,0,0,0,22,142.09,0.188,0.1,3.916,25.400000000000002,84.89,26,990,N/A
2017,1,1,22,30,0,0,0,0,0,0,21,155.02,0.188,0.2,3.685,134.70000000000002,86.52,25,990,N/A
2017,1,1,23,30,0,0,0,0,0,0,20,165.19,0.188,0.1,3.5100000000000002,141.5,83.16,25,990,N/A
2017,1,2,0,30,0,0,0,0,0,0,20,164.95000000000002,0.188,0.1,3.386,137.1,85.25,24,990,N/A
2017,1,2,1,30,0,0,0,0,0,0,19,154.61,0.188,0.2,3.283,140.6,82.56,24,990,N/A
2017,1,2,2,30,0,0,0,0,0,0,19,141.63,0.188,0.2,3.172,133.70000000000002,80.55,24,990,N/A
2017,1,2,3,30,0,0,0,0,0,0,19,128.01,0.188,0.2,3.045,110.60000000000001,84.25,23,990,N/A
2017,1,2,4,30,0,0,0,0,0,0,19,114.21000000000001,0.188,0.2,2.904,93.30000000000001,83.43,23,990,N/A
