Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1242637,-,-,-,4.61,-74.06,-5,2856,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2010,1,1,0,30,0,0,0,0,0,0,9,160.19,0.093,0.4,1.1340000000000001,53.300000000000004,88.96000000000001,7,740,N/A
2010,1,1,1,30,0,0,0,0,0,0,8,151.47,0.093,0.4,1.105,56.7,87.36,7,740,N/A
2010,1,1,2,30,0,0,0,0,0,0,8,139.34,0.093,0.5,1.071,63,85.92,6,740,N/A
2010,1,1,3,30,0,0,0,0,0,0,8,126.09,0.093,0.5,1.027,63.400000000000006,90.43,6,740,N/A
2010,1,1,4,30,0,0,0,0,0,0,8,112.43,0.093,0.5,0.974,60.2,89.01,6,740,N/A
2010,1,1,5,30,0,0,0,0,0,0,7,98.63,0.093,0.6000000000000001,0.917,58.6,87.24,6,740,N/A
2010,1,1,6,30,27,438,66,27,438,66,7,84.87,0.093,1,0.862,74.5,76.03,8,740,N/A
2010,1,1,7,30,54,835,322,54,835,322,7,71.3,0.093,1.6,0.8150000000000001,73.10000000000001,59.910000000000004,11,740,N/A
2010,1,1,8,30,65,973,579,65,973,579,5,58.14,0.093,2,0.779,81.60000000000001,43.06,14,740,N/A
2010,1,1,9,30,71,1038,795,71,1038,795,4,45.800000000000004,0.093,2.1,0.757,89.30000000000001,36.52,16,740,N/A
2010,1,1,10,30,76,1069,950,76,1069,950,4,35.24,0.093,2.1,0.752,93.2,32.410000000000004,17,740,N/A
2010,1,1,11,30,79,1082,1030,79,1082,1030,4,28.52,0.093,2.1,0.764,94.5,30.73,18,740,N/A
2010,1,1,12,30,79,1081,1029,79,1081,1029,4,28.53,0.093,2,0.792,95.30000000000001,31.05,19,740,N/A
2010,1,1,13,30,77,1064,946,77,1064,946,5,35.26,0.093,1.9000000000000001,0.8290000000000001,95.7,29.55,19,740,N/A
2010,1,1,14,30,72,1031,791,72,1031,791,5,45.84,0.093,1.9000000000000001,0.871,95.2,31.720000000000002,19,740,N/A
2010,1,1,15,30,64,968,575,64,968,575,5,58.17,0.093,1.8,0.915,94.2,34.09,18,740,N/A
2010,1,1,16,30,51,837,319,51,837,319,6,71.34,0.093,1.2000000000000002,0.962,94.4,40.83,15,740,N/A
2010,1,1,17,30,25,461,66,25,461,66,9,84.92,0.093,0.7000000000000001,1.004,97.30000000000001,61.29,12,740,N/A
2010,1,1,18,30,0,0,0,0,0,0,8,98.68,0.093,0.6000000000000001,1.044,91.10000000000001,66.53,10,740,N/A
2010,1,1,19,30,0,0,0,0,0,0,8,112.48,0.093,0.5,1.077,57.5,75.62,9,740,N/A
2010,1,1,20,30,0,0,0,0,0,0,8,126.15,0.093,0.5,1.104,46.5,80.17,8,740,N/A
2010,1,1,21,30,0,0,0,0,0,0,8,139.41,0.093,0.5,1.118,46.1,78.58,7,740,N/A
2010,1,1,22,30,0,0,0,0,0,0,8,151.55,0.093,0.4,1.117,45,82.02,7,740,N/A
2010,1,1,23,30,0,0,0,0,0,0,7,160.29,0.093,0.4,1.105,43.900000000000006,80.42,7,740,N/A
2010,1,2,0,30,0,0,0,0,0,0,7,160.31,0.093,0.4,1.089,37.800000000000004,79.9,7,740,N/A
2010,1,2,1,30,0,0,0,0,0,0,7,151.6,0.093,0.5,1.075,29,79.96000000000001,6,740,N/A
2010,1,2,2,30,0,0,0,0,0,0,7,139.47,0.093,0.6000000000000001,1.064,26.200000000000003,79.16,6,740,N/A
2010,1,2,3,30,0,0,0,0,0,0,7,126.21000000000001,0.093,0.5,1.054,28.900000000000002,83.28,6,740,N/A
